ACE
"SS Corpro flight system","Whenever this mech moves or boosts, it can fly."
"Rebound Scan","All characters of the Scout’s choice in range 5 of the Scout must pass a systems save or immediately lose the benefit of all cover, hiding, and invisibility and be unable to take cover, hide, or turn invisible until the start of the Scout’s next turn."
"Cloaking Field","The scout deploys a cloaking field, affecting a burst 3 area around it. All allied characters in that field become invisible while inside the area, including the scout, but the scout is immobilized while it is active. The field deactivates at the end of the scout’s next turn."
"System Flayer","Characters that fail their save against the Marker’s Rebound Scan gain Lock On and take 2/3/4 heat."
"Spotter","Any allied character that makes an attack roll while adjacent to the Scout gains +1 Accuracy."
"Expose Weakness","Characters hit by the Marker Rifle take +4/6/8 bonus damage from the very next attack that hits them, or until the scene ends."
"Dataveil","The Scout is permanently invisible. As a quick action, it can transfer this invisibility to any ally it can see, but loses invisibility while it does so. It can transfer it back or to a new target as a quick action, and this effect ends if the scout is destroyed."
"Orbital Strike","The Marker chooses a space in range 20 and line of sight. The targeted space is visible to all characters. At the end of the next round (after all characters have been activated), all characters still in a blast 2 area centered on that space must pass an agility save or take 12/16/20 energy damage and be knocked prone, or half and no prone on a successful check."
SEEDER
"Lay Mine","The Seeder deploys a mine in a free space within range 3. The mine is invisible and untargetable but can be revealed by a character looking for the mine taking a successful systems check if the mine is in that character’s sensor range. The mine triggers when any hostile character passes over its space, forcing a save for any character in a burst 1 area around it (allied or hostile). It can be disarmed by moving on top of it and passing a successful systems check as a quick action, but triggers if the check fails. The seeder chooses from the following mines: Stun Mine - Engineering save. A character that fails this save is stunned until the end of its next turn. Explosive Mine - Agility save. 8/12/16 explosive damage, and half on a successful check. Sealant Mine - Hull save. A character that fails this save is immobilized until the end of its next turn, then slowed until the end of its subsequent turn. Shock Mine - Systems save. A character that fails this save is Jammed until the end of its next turn, then impaired until the end of its subsequent turn."
"Hopping Mines","The seeder’s mines also trigger when a character flies or moves over their area up to 10 spaces above them."
"Tripwires","The seeder’s mines are instead line 3 areas that trigger on any target entering or crossing their area, but they become recharge (5+)"
"Speed Deployer","The Seeder lays two mines at once when it lays a mine."
"Grav Mine","A target in range 5 and line of sight to the Seeder must pass a systems save or have a mine attached to them. The seeder can detonate any grav mines at the start of its turn as a free action, causing any affected mech to take 2/3/4 AP explosive damage, no attack roll required, and be pulled 3 spaces in a direction of the Seeder’s choosing."
"Seeker Mines","The seeder fires small seeker mines at one to three characters of the seeder’s choice in range 5 and line of sight. Those targets must pass an agility save or have a mine latch on to them. At the start of the seeder’s next turn, the mines explode for a burst 1 explosion on each character for 3/5/7 explosive damage. Characters can take damage from more than one mine."
SENTINEL
"Eye of Midnight","This system can be activated or deactivated as a quick action, and remains indefinitely. While this system is active, the Sentinel is Slowed, but can make one overwatch reaction a turn instead of per round."
"Guardian","Adjacent allies can use the Sentinel for hard cover."
"Punisher Ammunition","Characters damaged by the Sentinel’s overwatch attacks are slowed until the end of their next turns."
"Wrath-lock","While this system is armed, the next time the Sentinel fires its combat shotgun, it makes two attacks instead of one."
"Impaler","The first enemy damaged by an overwatch shot from the Sentinel must pass an hull save with 1 difficulty or immediately stop moving and become immobilized until the end of their next turn."
"Watchful","In response to any enemy movement, the Sentinel can make the boost action as a reaction."
"Bodyguard","At the start of its turn, the Sentinel can nominate an allied character within range 5 as a free action. Once per turn, when that character is targeted by an attack, the Sentinel can immediately make a single overwatch attack against the attacker if it is in range as a reaction, interrupting that attack."
SNIPER
"Sniper's Mark","The Sniper marks a target within range 25 and line of sight. While marked, the Sniper’s anti material rifle attacks against that target causes it to take 1 structure damage on hit instead of dealing damage normally. The Sniper can only have one mark active at a time, but can transfer it if need be by taking this action again. The target is aware of this effect and avoid it if it is in any kind of cover, instead taking damage normally. It can also voluntarily drop prone as a free action on its turn while this mark is active. While it’s prone, it ignores this effect and takes damage normally."
"Climber","The sniper can climb any surface with no penalty and walk or stand on such surfaces as if they were flat ground, even overhanging or vertical surfaces."
"Defensive Grapple","The Sniper chooses a point within range 5 (vertical or horizontal) and pulls itself to that point with a grappling hook as if it had flown. It can use this as a quick action on its turn or a reaction to an enemy’s movement that it can see."
"Driving Fire","1/round, in response to any character in range 20 and line of sight starting any movement, the Sniper can interrupt that movement. If the character continues to move, the Sniper can immediately attack it as a reaction. The character can choose to cancel that move, losing the action or movement. If they do so, the Sniper does not get to attack, but still spends its reaction."
"Selective Loader","The Sniper can fire one of several types of ammunition, choosing one before it attacks: Impact: Targets hit by the AMR must pass a hull save or be knocked prone EMP: Targets hit by the AMR must pass a system save or be Jammed until the end of their next turn Flare: Targets hit by the AMR cannot hide or turn invisible until the end of their next turn Molten: Targets hit by the AMR must pass an engineering save or become Shredded until the end of their next turn."
"Over-penetrating Round","The Sniper loads an over-penetrating round into its anti-material rifle. Its next attack with the rifle becomes Line 20."
"Shroud Grenades","The Sniper creates a burst 3 zone of soft cover around itself. The zone disperses at the end of its next turn, or when the Sniper creates a new one. Characters other than this mech cannot trace line of sight into or out of the zone (characters at least partly inside the zone can draw line of sight to each other normally)."
SPECTRE
"Monowire Sword","This weapon can attack twice at tier II and three times at tier III."
"Prowl","The Spectre moves its speed, ignoring reactions and engagement, then gains the hidden condition (it can’t be directly targeted by any character, characters can reveal it by taking the search action)."
"Tactical Cloak","The Spectre is permanently invisible."
"Hunt","The Spectre’s melee attacks deal +3 bonus damage and become AP if no characters other than the Spectre are adjacent to its target."
"Fortress","Tech attacks are made against the Spectre with +3 difficulty and it makes all system saves with +3 Accuracy"
"Drain Systems","The Spectre can only make this attack against an adjacent target. On hit, the target is stunned until any character other than the specter starts its turn adjacent to the target or moves adjacent to the target."
"Step","The Spectre moves to a space it can see within range 50, counting as teleporting."
"Machine Pistol","This weapon can attack twice at tier II and three times at tier III"
"Weakness Analyser","If the Spectre starts its turn hidden, its first attack from hiding gains +1 Accuracy/tier and gains the ability to Critical Hit, dealing +1d6 kinetic damage on Critical Hit."
SUPPORT
"Sealant Gun","The Support targets a character within range 5 and line of sight. This has different effects depending on if the character is allied or hostile: Allied: The allied character ends all burn affecting it immediately, but it becomes slowed until the end of its next turn Hostile: The hostile character must pass an agility save or become slowed until the end of its next turn. Hit or miss, a burst 1 area around it becomes difficult terrain for the rest of the scene."
"Restock Drone","As a quick action, the support fires a drone to a point within range 5 of its position, where it hovers. The drone can be attacked and destroyed. It is a size 1/2 drone with evasion and edefense 10/12/14 and 5 8/10 HP. The drone clamps on to the next allied mech to move through or adjacent to that drone’s space and discharges, healing that mech 5/10/15 HP."
"Nano-Repair Cloud","Allied characters adjacent to the support can roll twice on all saves and mech skill checks and choose the higher result."
"Remote Reboot","The support immediately ends 2 of the following conditions on an allied mech within range 5: impaired, jammed, stunned, shut down, slowed."
"Empowered Cloud","Characters that start their turn adjacent to the support can immediately end 1 condition affecting them."
"Remote Cloud","The support creates a blast 2 area within range 5 of its location. Allied targets that start their turns in the area or move through it for the first time can gain 2/4/6 HP. The cloud disperses at the start of the support’s next turn."
"Defensive Pulse","All mechs within range 5 of the support can immediately end the Jammed and Lock on conditions on themselves."
"Latch drone","The support chooses another mech within range 5, then fires a self-deploying drone(Size 1/2, 5 HP/tier, 10 evasion/e-defense) at that mech. The drone clamps on to the targeted mech and occupies the same space as it. At the start of each of its turns, while the drone is deployed on that target, that target can heal 5/8/10 HP. In addition, it gains +1 Accuracy on all checks, saves, and attacks. The drone can be shot off and destroyed."
WITCH
"Tear Down","On hit, the target takes 1/2/3 heat, and 3 heat at the start of the Witch’s next turn."
"Blind","On hit, the target only has line of sight to adjacent squares until the end of its next turn."
"Predatory Logic","On hit, the target immediately makes an attack with a single weapon of the witch’s choice against any other target within range (even an allied target)."
"Blur","The Witch is invisible during its turn. It reappears when its turn ends."
"Spread Suffering","When the Witch takes a quick or full tech action, it can repeat that action as a free action against any characters adjacent to its primary target."
"Dark Cloud","The Witches’ Tear Down quick tech action deals a bonus 3 heat to targets in the danger zone on its secondary hit (at the start of the Witch’s turn)."
"Chain","On hit, the target is chained to a point within range 3 of its location. If it moves further away from range of 3 of that point (voluntarily or otherwise), it takes 2/3/4 heat and becomes jammed until the end of its next turn, but the effect ends. Otherwise, it only ends when the Witch is destroyed, shut down, or the scene is over."
"Petrify","On hit, the target is slowed. On it’s next turn, it is immobilized. On its following turn, it is stunned until the end of that turn, and the effect ends."
"Pain Transference","On hit, until the end of the Witch’s next turn, when the target gains heat, all its allies in range 5 of that target also gain the same amount of heat."
ULTRA
"Berserker","The Ultra gains +1 Accuracy on all melee attacks. It can attack with one melee weapon, grapple, or ram attack as a free action on its turn."
"Devastator","When the ultra hits with an attack, all targets visible to the ultra take 2/4/6 kinetic, explosive, or energy damage."
"Evasive","The Ultra gains +4 evasion, up to a maximum of 20, but reduce its structure to 3."
"Extra Deadly","The first Critical Hit the Ultra deals per turn does +1d6 bonus damage/tier."
"Fortress","Tech attacks against the Ultra are made at +3 difficulty and it makes all systems saves at +3 accuracy)."
"Legion","The ultra gains +4 e-defense, up to a maximum of 20, and it gains +1 accuracy on all tech attacks."
"Limitless","The Ultra can use overcharge. It’s cost for overcharging is always 1d6 heat."
"Unstoppable","Hostile characters cannot hide while inside the Ultra’s sensor range and it ignores invisibility."
"Superior Construction","The ultra has resistance to one of the following damage types: kinetic, energy, explosive. It cannot gain resistance to more than 2 (from this trait or any other systems). Reduce its structure to 3."
"Superior Frame","The ultra is immune to the Slowed, Shredded, and immobilized conditions"
"Superior Targeting","The ultra ignores cover when making ranged attacks."
"Supreme Maintenance","The ultra is immune to the Jammed condition, can reload one weapon with the loading property as a free action on its turn, and can repair a destroyed weapon or system with a quick action on its turn."
"Supreme Skirmisher","Any number of times a round, the Ultra can take the boost action as a reaction to any enemy movement it can see."
"ARGUS armor","The ultra’s armor increases to 5. Each time it rolls a critical or overheating check, reduce its armor by 2, to a minimum of 0."
"Siege Shield","The ultra has resistance to all damage that originates further away than range 5 of its space."
"Hellfire Projector","This weapon can be fired twice with the attack action, but its areas cannot overlap."
"Repulsion field","Hostile targets that start their turn adjacent to the Ultra or become adjacent to it for the first time on their turn take 2/4/6 energy damage, 2 heat, and must pass a systems save or become impaired until the end of their next turn."
"Spool gun","Choose a direction, then draw a line 30 spaces long and 2 spaces wide in that direction. Each character inside that area must pass an agility skill save or take 1 structure damage, or be reduced to 1 HP on a successful check. Any objects smaller than size 5 in the area are completely annihilated."
"Ravager Turret","The Ultra fires at every hostile character in range and line of sight when this weapon is fired."
"SSC Silvershielding","The Ultra is permanently invisible. Reduce its structure to 2."
"SSC Ex Hover Propulsion","The Ultra can fly when it moves or boosts, and can hover (it can stop midair, doesn’t have to move in a straight line, and doesn’t need to land after moving)."
"Volley module","The ultra goes into a stable stance. At the start of its next turn, it fires one weapon at each character of its choice that is in range, not in cover, and not prone as a free action. Characters are aware of this effect, and can choose to drop prone as a free action on their turn to avoid being targeted by this action. It can fire the same weapon multiple times for this special action, ignoring the loading tag during this attack."
"WOLFHOUND Missile","Choose a target within range 30 and line of sight. The ultra fires a wolfhound missile at the target, which is size 1, moves speed 5, has evasion 10, 0 armor, and 10/15/20 HP. The missile primes in an adjacent space when deployed, then moves at the start of each the ultra’s turns. If its target suffers from the Locked On condition, its movement increases to 10. The missile can benefit from cover and can be targeted and shot by systems and weapons. It must move towards its target, but can maneuver skillfully around cover, fit through holes, etc. If the missile’s movement causes it to collide with a character, it detonates for a blast 1 explosion. Mechs caught inside must pass an agility skill check or take 14/20/28 energy damage, and half on a successful check. The Ultra can have only one missile fired at a time. Only check for recharge if this missile has hit its target or been destroyed."
VETERAN
"NHP Co-pilot","The veteran’s mech or vehicle gains the AI tag. The veteran’s mech or vehicle is autonomous and can function even if the veteran is not piloting it. The AI can be unshackled, with the same effects as player AI."
"Acrobat","When the veteran moves or boosts, it can fly 3 after the move or boost completes. This flight does not provoke reactions and ignores engagement."
"Deadly","This mech can Critical Hit, dealing +2 bonus damage/tier to its attacks on crit."
"Insulated","The veteran is immune to Burn"
"Self Repair","This mech heals 1/2 HP and ends one condition currently affecting it (impaired, Slowed, immobilized, shut down, jammed)"
"Feign Death","The first time in a scene this enemy would be destroyed, though it appears destroyed, it is instead at 1 hp. A successful systems check or pilot skill check by an adjacent character will reveal it is still active, or this effect ends when it takes any action or moves."
"Hacker","When the veteran makes a successful tech attack against a character, that character takes 2 heat."
"Headshot","When the veteran scores a Critical Hit, the target of its attack must pass an hull save or only be able to draw line of sight to adjacent spaces until the end of its next turn."
"Hardened Target","Tech attacks against this character are made with +1 difficulty, and it makes all systems saves with +1 accuracy."
"Legendary","The veteran can enter the CRITICAL state (like the player) instead of being destroyed when ticking off its last structure point."
"Lesser Sight","Within range 3 of the Veteran, targets cannot hide from it, and cannot benefit from invisibility against it while inside that area."
"Limitless","The veteran can use Overcharge. Its cost for overcharging is always 1d6."
"Lightning Reflexes","The veteran can use Overcharge. It’s cost for overcharging is always 1d6."
"Parting Gift","The veteran can use the Self Destruct action (see mech combat for details)"
"Rodeo Master","The veteran can dismount their mech as a quick action, gaining the human stat block (in this section). They can take all actions a pilot player character can, including the jockey action."
"Shock Armor","The veteran has resistance to damage from main size weapons."
"Skirmisher","The veteran can move or boost as a reaction to any enemy movement or action that it can see."
"Slippery","The veteran does not provoke reactions and ignores engagement with its regular move (other movement still provokes reactions)"
"Steel Jaw","The most damage an auxiliary weapon can do to the veteran is 1."
"Viper's Speed","The veteran always takes its turn first, even over player characters. If there is a question of who acts first (in the story, or combat), it is always the veteran. If there’s multiple characters with this trait, only one of them gets to use it (decide who is actually fastest)."
EXOTIC
"Bio-integrated","You may only choose this trait for a mech. The mech gains the biological tag (it loses heat capacity and cannot take or be the target of tech actions except Lock On and scans)."
"Blinkspace Carver","When the NPC moves, it teleports."
"Extrusion","The NPC is only a partial extrusion of a higher-concept entity and only partially present in physical space. It gains resistance to all damage but all its weapons also deal half damage and it can be passed through as if it wasn’t there (it doesn’t provide obstruction)."
"Living Weaponry","The NPC becomes immune to the Jammed condition. Its weapons have biotechnical and semiorganic components that spontaneously generate ammunition. When it reloads, it can also heal 1d6 HP."
"Paracausal Weapon","Choose one of the NPC’s weapons. Damage from that weapon cannot be reduced in any way (by armor, resistance, or otherwise)"
"Ouroboros Brand","The NPC can force a re-roll of any 1d20 roll for themselves or any allied or hostile target it can see (but must keep the second result) by causing localized distortions in the flow of time."
"Regenerator","The NPC heals 2/3/4 HP at the end of its turn. This trait does not function if the NPC took energy damage at any point during the round."
"Bounty Hunter","Before combat, choose a player character that there’s a bounty out for. The mercenary gains +1 Accuracy on all attacks, checks, and saves against that character and their mech."
MERCENARY
"Efficient Killer","The mercenary gains +1 Accuracy on attacks and all its damage becomes AP against a target with 2 or less structure remaining."
"Call in Favor","The Mercenary calls in a favor in the form of an orbital strike or artillery strike, targeting a blast 2 area within range 30 of its position and line of sight. All mechs caught in the area must pass an agility save or take 6/8/12 explosive damage, or half on a successful save."
"Scout Drone","The Mercenary fires a scout drone to an empty space within its sensor range. The drone has evasion and e-defense 10, 10 hp, and no armor. Within a burst 2 area centered on the drone, no target can turn invisible or hide from the mercenary, and the mercenary can attack targets in the area with +1 accuracy. The mercenary can reposition the drone as a free action at the start of its turn."
"Tactical Retreat","When the mercenary is taken below half HP, this system automatically activates. All targets within a burst 2 area around the mercenary must pass an agility save or take 2 kinetic damage and become jammed until the end of their next turns. The mercenary can then move its speed in any direction. This movement doesn't provoke reactions and ignores engagement."
COMMANDER
"Bolster Network","While the commander is alive, all allies the commander can see gain the hardened target trait (+1 difficulty on all tech attacks against them and +1 accuracy on systems saves). The commander does not benefit from this trait."
"Retribution","The commander can make an attack against any character that successfully damaged an ally it can see. This attack deals half damage on hit."
"Press On!","The commander ends the stunned, shut down, or jammed conditions on an allied character it can see."
"Reposition","One ally that a commander can see can make the boost action as a reaction to the commander’s turn starting."
"Rank and File","Allied characters adjacent to the commander gain +1 Accuracy on all attacks, saves and checks."
PIRATE
"Boarding Clutch","This weapon can be used as an improvised grappling hook. It can be thrown at a character within range 5. The affected character must pass a hull save or be pulled directly to the pirate and grappled."
"Splinter Rounds","Critical Hits from the pirate deal an additional +3 bonus damage"
"Borer Missiles","The Pirate chooses a character in range 10 and line of sight. 1d3 miniature drones are attached to the target and begin boring into the mech’s interior. In 1d6+3 rounds, if there are any missiles still attached to the target, they bore inside the cockpit and savage the pilot, reducing the pilot to 0 HP, causing them to make a Down and Out check. A single drone can be removed by making a successful systems or engineering skill check as a quick action (an adjacent ally can also make this check). The drones can also be confused by shutting the affected mech down, which pauses the timer. The pilot in the affected mech is aware of how much time they have before the drones bore through."
"Prying Claws","An adjacent target makes a hull save. On a failed save, the targeted pilot immediately exits their mech as if they had taken the dismount action (place them adjacent to their mech)."
"Slaver Signal","This system affects one piloted vehicle or mech within range 10. The affected target must make a systems save to shut out the signal or be affected. On failure, all the pilots in the target are affected by the signal, falling into an unresponsive stupor. While in this state, their pilot is stunned, and their mech or vehicle is also stunned unless it has the AI tag. If their mech, vehicle, or pilot takes damage, the pilots will be jolted awake, immediately ending this effect. Another adjacent character can use a full action on their turn to make a systems check to try and blot out the signal, waking the affected target up on success. If the source of the signal is destroyed, any targets affected will also wake up."
SPACER
"Gravity Rifle","The target of this attack must pass a hull save or be pulled in a straight line towards the wielder of this weapon up to 10 spaces, or as far as it can move. If this causes it to collide with an obstacle or another mech, it is additionally knocked prone."
"Sealant Trap","This self deploying trap can be placed in a vacant space. It counts as a mine and can be scanned to be detected and disabled with a successful systems check. Once any character walks over or adjacent to the trap, it explodes, creating a burst 1 area centered on it. All targets caught inside are automatically covered in thick, fast-drying hull sealant and immobilized. The only way to break out of the sealant is to do enough damage to break it (evasion 5, 5 hp/tier)."
"Thumper grenades","Once thrown to an impact point as a quick action, these grenades explode outwards with a concussive pulse in a blast 1 area around the space where they are targeted. Targets caught in the area must pass an agility check or be knocked back 3 spaces directly away from the impact point. If this causes them to collide with an obstacle or another mech, they are additionally knocked prone."
GENERIC
"Armored","This character gains +1 armor, up to a maximum of +4"
"Boosted Reactor","This character gains +2 heat capacity."
"Jump Jets","This character can Fly when it boosts, but must land after moving."
"Reinforced","This character gains +5 HP"
"SSC Core Flight System","This character can Fly when it moves or boosts"
"Tactical Cloak","This mech becomes invisible. If it takes damage or is stunned or shut down, it loses this invisibility."
